# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1559193258.180186271667480,0.01625,0.00063,0.00108,0.00033,0.00058,0.00131,0.02018
1559193258.280162096023560,0.01547,0.00057,0.00099,0.00032,0.00049,0.00100,0.01884
1559193258.380181789398193,0.02065,0.00079,0.00152,0.00040,0.00230,0.00120,0.02686
1559193258.480132579803467,0.02897,0.00069,0.00129,0.00045,0.00112,0.00113,0.03365
1559193258.580132961273193,0.01082,0.00035,0.00047,0.00036,0.00260,0.00110,0.01571
1559193258.680132389068604,0.01184,0.00046,0.00142,0.00070,0.00000,0.00095,0.01538
1559193258.780194759368896,0.01751,0.00057,0.00127,0.00109,0.00337,0.00138,0.02519
1559193258.880111217498779,0.01662,0.00061,0.00101,0.00142,0.00071,0.00188,0.02224
1559193258.980102539062500,0.01801,0.00053,0.00222,0.00144,0.00145,0.00091,0.02457
1559193259.080173969268799,0.00649,0.00024,0.00041,0.00054,0.00080,0.00064,0.00913
1559193259.180202722549438,0.01620,0.00041,0.00084,0.00102,0.00023,0.00096,0.01965
1559193259.280257225036621,0.01224,0.00036,0.00036,0.00084,0.00088,0.00076,0.01544
1559193259.380258083343506,0.02634,0.00064,0.00056,0.00136,0.00043,0.00116,0.03050
1559193259.480238914489746,0.02985,0.00057,0.00076,0.00171,0.00026,0.00140,0.03455
1559193259.581028699874878,0.01142,0.00036,0.00042,0.00086,0.00008,0.00087,0.01401
1559193259.680151939392090,0.01284,0.00044,0.00121,0.00086,0.00116,0.00126,0.01778
1559193259.780132770538330,0.01647,0.00044,0.00071,0.00070,0.00008,0.00096,0.01937
1559193259.880229473114014,0.03027,0.00076,0.00208,0.00089,0.00049,0.00123,0.03573
1559193259.980156660079956,0.03330,0.00050,0.00118,0.00072,0.00193,0.00132,0.03896
1559193260.080226421356201,0.00723,0.00028,0.00028,0.00038,0.00024,0.00069,0.00911
1559193260.180324554443359,0.02267,0.00072,0.00077,0.00126,0.00011,0.00163,0.02717
1559193260.280216932296753,0.01526,0.00063,0.00106,0.00091,0.00174,0.00120,0.02081
1559193260.380183696746826,0.01721,0.00052,0.00052,0.00093,0.00023,0.00146,0.02086
1559193260.480130910873413,0.02949,0.00049,0.00081,0.00070,0.00233,0.00118,0.03499
1559193260.580099582672119,0.01289,0.00045,0.00069,0.00071,0.00021,0.00124,0.01619
1559193260.680177450180054,0.03654,0.00083,0.00108,0.00070,0.00012,0.00144,0.04070
1559193260.780294656753540,0.01391,0.00044,0.00083,0.00052,0.00108,0.00095,0.01774
1559193260.880202770233154,0.03173,0.00068,0.00127,0.00056,0.00048,0.00131,0.03602
1559193260.980118989944458,0.03164,0.00097,0.00152,0.00016,0.00235,0.00100,0.03763
1559193261.080138683319092,0.00737,0.00023,0.00036,0.00011,0.00062,0.00090,0.00958
1559193261.180080652236938,0.02666,0.00080,0.00097,0.00036,0.00007,0.00110,0.02997
1559193261.280084133148193,0.01367,0.00039,0.00148,0.00023,0.00047,0.00110,0.01735
1559193261.380047559738159,0.01341,0.00033,0.00058,0.00021,0.00078,0.00080,0.01611
1559193261.481527090072632,0.01798,0.00065,0.00039,0.00051,0.00148,0.00119,0.02219
1559193261.580486536026001,0.03153,0.00041,0.00063,0.00024,0.00011,0.00073,0.03365
1559193261.680166721343994,0.01184,0.00033,0.00057,0.00019,0.00084,0.00066,0.01444
1559193261.780200719833374,0.01753,0.00051,0.00171,0.00041,0.00082,0.00121,0.02219
1559193261.880240678787231,0.01849,0.00051,0.00187,0.00020,0.00109,0.00140,0.02357
1559193261.980204582214355,0.01827,0.00052,0.00083,0.00035,0.00071,0.00160,0.02229
1559193262.080245971679688,0.00770,0.00023,0.00025,0.00013,0.00011,0.00048,0.00891
1559193262.180206298828125,0.01555,0.00054,0.00087,0.00026,0.00002,0.00104,0.01828
1559193262.280081272125244,0.02089,0.00051,0.00116,0.00028,0.00015,0.00116,0.02415
1559193262.380082130432129,0.01476,0.00046,0.00021,0.00026,0.00128,0.00097,0.01795
1559193262.480174064636230,0.03051,0.00051,0.00111,0.00030,0.00038,0.00101,0.03381
1559193262.580229997634888,0.01487,0.00038,0.00046,0.00016,0.00154,0.00068,0.01810
1559193262.680251836776733,0.01659,0.00058,0.00050,0.00050,0.00064,0.00091,0.01972
1559193262.780348300933838,0.01564,0.00035,0.00067,0.00022,0.00024,0.00073,0.01785
